646,批量下载承保通知书,p019139,draco-artifacial-underwriting-service,0,"[{""args"":{""pattern"":""/draco/api/v1/noticePrint/batchDownloadNotice""},""name"":""Path""}]","[{""args"":{""_genkey_0"":""1""},""name"":""StripPrefix""},{""args"":{""_genkey_0"":""1""},""name"":""FilterRequest""}]",0,0,,,,2020/4/9 17:50,2020/4/9 17:56,p06
647,打印承保通知书,p013370,draco-artifacial-underwriting-service,0,"[{""args"":{""pattern"":""/draco/api/v1/noticePrint/printNotice""},""name"":""Path""}]","[{""args"":{""_genkey_0"":""1""},""name"":""StripPrefix""},{""args"":{""_genkey_0"":""1""},""name"":""FilterRequest""}]",0,0,,,,2020/4/9 17:49,2020/4/9 17:56,p06
648,未打印承保通知书数量查询,p011372,draco-artifacial-underwriting-service,0,"[{""args"":{""pattern"":""/draco/api/v1/noticePrint/queryUnPrintNoticeCount""},""name"":""Path""}]","[{""args"":{""_genkey_0"":""1""},""name"":""StripPrefix""},{""args"":{""_genkey_0"":""1""},""name"":""FilterRequest""}]",0,0,,,,2020/4/9 17:48,2020/4/9 17:56,p06
649,P05查询签发保单信,web9743,dorado-insuring-service-newcontract,1,"[{""args"":{""pattern"":""/dorado/api/v1/signPolicy/querySignPolicy""},""name"":""Path""}]","[{""args"":{""_genkey_0"":""1""},""name"":""StripPrefix""},{""args"":{""_genkey_0"":""1""},""name"":""FilterRequest""}]",0,0,,,,2020/4/7 17:11,2020/4/7 17:11,web
650,P05保单签发,web4436,dorado-insuring-service-newcontract,1,"[{""args"":{""pattern"":""/dorado/api/v1/signPolicy/signPolicy""},""name"":""Path""}]","[{""args"":{""_genkey_0"":""1""},""name"":""StripPrefix""},{""args"":{""_genkey_0"":""1""},""name"":""FilterRequest""}]",0,0,,,,2020/4/7 17:12,2020/4/7 17:18,web
651,P05配置路由,P014325,dorado-insuring-service-newcontract,0,"[{""args"":{""pattern"":""/dorado/api/v1/customer/qryCustomerInfo""},""name"":""Path""}]","[{""args"":{""_genkey_0"":""1""},""name"":""StripPrefix""},{""args"":{""_genkey_0"":""1""},""name"":""FilterRequest""}]",0,0,,,,2020/4/8 10:24,2020/4/8 10:24,P01
652,通知书信息查询,p019771,draco-artifacial-underwriting-service,0,"[{""args"":{""pattern"":""/draco/api/v1/noticePrint/queryNoticeInfo""},""name"":""Path""}]","[{""args"":{""_genkey_0"":""1""},""name"":""StripPrefix""},{""args"":{""_genkey_0"":""1""},""name"":""FilterRequest""}]",0,0,,,,2020/4/9 17:47,2020/4/9 17:56,p06
653,发送核保通知书,p019455,draco-artifacial-underwriting-service,0,"[{""args"":{""pattern"":""/draco/api/v1/sendNotice/sendAllNotice""},""name"":""Path""}]","[{""args"":{""_genkey_0"":""1""},""name"":""StripPrefix""},{""args"":{""_genkey_0"":""1""},""name"":""FilterRequest""}]",0,0,,,,2020/4/9 17:46,2020/4/9 17:56,p06
654,通知书预览,p017951,draco-artifacial-underwriting-service,0,"[{""args"":{""pattern"":""/draco/api/v1/sendNotice/noticePreview""},""name"":""Path""}]","[{""args"":{""_genkey_0"":""1""},""name"":""StripPrefix""},{""args"":{""_genkey_0"":""1""},""name"":""FilterRequest""}]",0,0,,,,2020/4/9 17:46,2020/4/9 17:57,p06
655,发送核保通知书页面，发送校验,p011443,draco-artifacial-underwriting-service,0,"[{""args"":{""pattern"":""/draco/api/v1/sendNotice/sendCheck""},""name"":""Path""}]","[{""args"":{""_genkey_0"":""1""},""name"":""StripPrefix""},{""args"":{""_genkey_0"":""1""},""name"":""FilterRequest""}]",0,0,,,,2020/4/9 17:45,2020/4/9 17:57,p06
656,二级页面发送核保通知书按钮校验,p015443,draco-artifacial-underwriting-service,0,"[{""args"":{""pattern"":""/draco/api/v1/sendNotice/sendNoticeCheck""},""name"":""Path""}]","[{""args"":{""_genkey_0"":""1""},""name"":""StripPrefix""},{""args"":{""_genkey_0"":""1""},""name"":""FilterRequest""}]",0,0,,,,2020/4/9 17:44,2020/4/9 17:57,p06
657,状态查询接口,P05web1586,dorado-insuring-service-newcontract,0,"[{""args"":{""pattern"":""/dorado/api/v1/selectState""},""name"":""Path""}]","[{""args"":{""_genkey_0"":""1""},""name"":""StripPrefix""},{""args"":{""_genkey_0"":""1""},""name"":""FilterRequest""}]",0,0,,,,2020/4/13 16:55,2020/4/13 16:59,P05web
658,发送核保通知书页面初始化查询,p061325,draco-artifacial-underwriting-service,0,"[{""args"":{""pattern"":""/draco/api/v1/sendNotice/sendAllNoticeInit""},""name"":""Path""}]","[{""args"":{""_genkey_0"":""1""},""name"":""StripPrefix""},{""args"":{""_genkey_0"":""1""},""name"":""FilterRequest""}]",0,0,,,,2020/4/9 17:42,2020/4/9 17:58,p06
